Page URL,Ratio,Discovered
https://templum.com.br/auditoria/,0.10,23 Jun 2026 (16:59 UTC)
https://templum.com.br/carreira/,0.07,23 Jun 2026 (16:59 UTC)
https://templum.com.br/case-de-sucesso/,0.08,23 Jun 2026 (16:59 UTC)
https://templum.com.br/consultoria/,0.07,23 Jun 2026 (16:59 UTC)
https://templum.com.br/contato/canal-de-denuncias/,0.07,23 Jun 2026 (16:59 UTC)
https://templum.com.br/drops/,0.09,23 Jun 2026 (16:59 UTC)
https://templum.com.br/form/,0.08,23 Jun 2026 (16:59 UTC)
https://templum.com.br/metodologia/,0.09,23 Jun 2026 (16:59 UTC)
https://templum.com.br/quem-somos/sobre/,0.07,23 Jun 2026 (16:59 UTC)
https://templum.com.br/treinamento-fase-a-fase/,0.08,23 Jun 2026 (16:59 UTC)
https://www.templum.com.br/case-de-sucesso/,0.08,23 Jun 2026 (16:59 UTC)
https://www.templum.com.br/consultoria/,0.07,23 Jun 2026 (16:59 UTC)
https://www.templum.com.br/contato/,0.06,23 Jun 2026 (16:59 UTC)
https://www.templum.com.br/historias/,0.07,23 Jun 2026 (16:59 UTC)
https://www.templum.com.br/metodologia/,0.09,23 Jun 2026 (16:59 UTC)
https://www.templum.com.br/quem-somos/sobre/,0.07,23 Jun 2026 (16:59 UTC)
https://www.templum.com.br/solucoes-de-ia/,0.09,23 Jun 2026 (16:59 UTC)
https://www.templum.com.br/treinamento-fase-a-fase/,0.08,23 Jun 2026 (16:59 UTC)
