Data,Páginas afetadas
2026-03-16,165
2026-03-17,164
2026-03-18,164
2026-03-19,164
2026-03-20,164
2026-03-21,163
2026-03-22,163
2026-03-23,163
2026-03-24,163
2026-03-25,163
2026-03-26,163
2026-03-27,163
2026-03-28,161
2026-03-29,161
2026-03-30,161
2026-03-31,156
2026-04-01,156
2026-04-02,156
2026-04-03,156
2026-04-04,152
2026-04-05,152
2026-04-06,151
2026-04-07,151
2026-04-08,151
2026-04-09,151
2026-04-10,151
2026-04-11,151
2026-04-12,151
2026-04-13,149
2026-04-14,149
2026-04-15,149
2026-04-16,149
2026-04-17,147
2026-04-18,147
2026-04-19,147
2026-04-20,145
2026-04-21,145
2026-04-22,145
2026-04-23,145
2026-04-24,143
2026-04-25,143
2026-04-26,143
2026-04-27,144
2026-04-28,144
2026-04-29,144
2026-04-30,144
2026-05-01,143
2026-05-02,143
2026-05-03,143
2026-05-04,141
2026-05-05,141
2026-05-06,141
2026-05-07,141
2026-05-08,141
2026-05-09,141
2026-05-10,141
2026-05-11,142
2026-05-12,142
2026-05-13,142
2026-05-14,142
2026-05-15,140
2026-05-16,140
2026-05-17,140
2026-05-18,136
2026-05-19,136
2026-05-20,136
2026-05-21,136
2026-05-22,136
2026-05-23,136
2026-05-24,136
2026-05-25,133
2026-05-26,133
2026-05-27,133
2026-05-28,133
2026-05-29,132
2026-05-30,132
2026-05-31,132
2026-06-01,133
2026-06-02,133
2026-06-03,133
2026-06-04,133
2026-06-05,130
2026-06-06,130
2026-06-07,130
2026-06-08,125
2026-06-09,125
2026-06-10,125
2026-06-11,125
